Symbol,Name,Sector,Sec
EXR,Extra Space Storage,Real Estate,RE
XOM,Exxon Mobil Corp.,Energy,E
FFIV,F5 Networks,Information Technology,IT
FB,"Facebook, Inc.",Information Technology,IT
FAST,Fastenal Co,Industrials,I
FRT,Federal Realty Investment Trust,Real Estate,RE
FDX,FedEx Corporation,Industrials,I
FIS,Fidelity National Information Services,Information Technology,IT
FITB,Fifth Third Bancorp,Financials,FI
FE,FirstEnergy Corp,Utilities,U
FISV,Fiserv Inc,Information Technology,IT
FLIR,FLIR Systems,Information Technology,IT
FLS,Flowserve Corporation,Industrials,I
FLR,Fluor Corp.,Industrials,I
FMC,FMC Corporation,Materials,M
FL,Foot Locker Inc,Consumer Discretionary,CD
F,Ford Motor,Consumer Discretionary,CD
FTV,Fortive Corp,Industrials,I
FBHS,Fortune Brands Home & Security,Industrials,I
BEN,Franklin Resources,Financials,FI
FCX,Freeport-McMoRan Inc.,Materials,M
GPS,Gap Inc.,Consumer Discretionary,CD
GRMN,Garmin Ltd.,Consumer Discretionary,CD
IT,Gartner Inc,Information Technology,IT
GD,General Dynamics,Industrials,I
GE,General Electric,Industrials,I
GGP,General Growth Properties Inc.,Real Estate,RE
GIS,General Mills,Consumer Staples,CS
GM,General Motors,Consumer Discretionary,CD
GPC,Genuine Parts,Consumer Discretionary,CD
GILD,Gilead Sciences,Health Care,H
GPN,Global Payments Inc.,Information Technology,IT
GS,Goldman Sachs Group,Financials,FI
GT,Goodyear Tire & Rubber,Consumer Discretionary,CD
GWW,Grainger (W.W.) Inc.,Industrials,I
HAL,Halliburton Co.,Energy,E
HBI,Hanesbrands Inc,Consumer Discretionary,CD
HOG,Harley-Davidson,Consumer Discretionary,CD
HRS,Harris Corporation,Information Technology,IT
HIG,Hartford Financial Svc.Gp.,Financials,FI
HAS,Hasbro Inc.,Consumer Discretionary,CD
HCA,HCA Holdings,Health Care,H
HCP,HCP Inc.,Real Estate,RE
HP,Helmerich & Payne,Energy,E
HSIC,Henry Schein,Health Care,H
HES,Hess Corporation,Energy,E
HPE,Hewlett Packard Enterprise,Information Technology,IT
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,CD
HOLX,Hologic,Health Care,H
HD,Home Depot,Consumer Discretionary,CD
HON,Honeywell Int'l Inc.,Industrials,I
HRL,Hormel Foods Corp.,Consumer Staples,CS
HST,Host Hotels & Resorts,Real Estate,RE
HPQ,HP Inc.,Information Technology,IT
HUM,Humana Inc.,Health Care,H
HBAN,Huntington Bancshares,Financials,FI
HII,Huntington Ingalls Industries,Industrials,I
IDXX,IDEXX Laboratories,Health Care,H
INFO,IHS Markit Ltd.,Industrials,I
ITW,Illinois Tool Works,Industrials,I
ILMN,Illumina Inc,Health Care,H
INCY,Incyte,Health Care,H
IR,Ingersoll-Rand PLC,Industrials,I
INTC,Intel Corp.,Information Technology,IT
ICE,Intercontinental Exchange,Financials,FI
IBM,International Business Machines,Information Technology,IT
IP,International Paper,Materials,M
IPG,Interpublic Group,Consumer Discretionary,CD
IFF,Intl Flavors & Fragrances,Materials,M
INTU,Intuit Inc.,Information Technology,IT
ISRG,Intuitive Surgical Inc.,Health Care,H
